	0
slit	1
brick	2
diameter	3
all	4
in_forest_open_forest_near_valley	5
s	6
set	7
outside	8
now_full	9
bare_rock	10
At_End_Of_Road	11
gleaming	12
bottle	13
brass_lantern	14
brass_lantern_(providing_light)	15
downstream_bare_rock	16
tasty_food_here	17
stream	18
sewer	19
batteries	20
exit_to_up	21
rocky	22
light	23
large	24
small_bottle	25
other	26
At_Hill_In_Road	27
bottled_water	28
you	29
inside	30
power	31
tasty_food	32
Inside_Building	33
spring	34
hill_in_road	35
bed	36
small_bottle_here	37
building	38
2_inch_slit	39
inch	40
exit	41
valley_in_forest_beside_stream_tumbling_along_rocky_bed	42
open_forest_near_valley	43
hardly_portable	44
only_exit	45
shiny	46
downstream_rock	47
food	48
well_house_for_large_spring	49
in_forest_open_forest_with_deep_valley_to_one_side	50
open_forest_with_deep_valley_to_one_side	51
dim	52
tasty	53
bottled	54
exit_to_west	55
in_valley_valley_in_forest_beside_stream_tumbling_along_rocky_bed	56
hill_in_forest	57
forest	58
ground	59
small	60
dead	61
inside_building_building	62
At_Slit_In_Streambed	63
large_spring	64
that	65
keys	66
your_lamp	67
full	68
rhetorical	69
steel	70
full_already	71
distance	72
side	73
bottle_here	74
end_of_road	75
road	76
hill_still_in_forest	77
rock	78
lamp	79
water	80
lantern	81
foot	82
lamp_is_getting_dim.	83
bare	84
gleaming_brightly	85
lamp_has_run_out_of_power.	86
set_of_keys	87
streambed	88
food_here	89
exit_to_down	90
brass	91
20_foot_depression_floored_with_bare_dirt	92
west	93
hill	94
