open	0
to	1
special_about	2
key_on	3
throws	4
get_out_of	5
locking_door_behind	6
throws_back_in	7
picks_up	8
may_break	9
must_complain_to	10
ever_get_out_of	11
is	12
switch_on	13
switch_back_on	14
discover	15
also_see	16
in	17
will	18
jump_on	19
soon_picks_up	20
find	21
throws_in	22
key_onto	23
locking	24
really_must_complain	25
must_complain	26
is_dirtier_than	27
as_soon_picks_up	28
switch	29
pick_up	30
'll_have	31
have	32
has	33
put_steel_key_on	34
toss	35
toss_wall_onto	36
is_on	37
can_see_here	38
first_taking	39
switch_off	40
hear	41
is_in	42
unlock	43
taking	44
can_see	45
lock	46
are_carrying	47
jump_fruitlessly_on	48
would_achieve	49
see	50
would_achieve_nothing_by	51
really_must_complain_to	52
throws_back	53
put	54
